cliente_id,nombre,fecha_registro,segmento_calculado,pedidos_3m
100100,Jordi Crespi Gimeno,2023-07-11,premium,10
102974,José Nogueira Corominas,2021-08-30,regular,6
115024,Ana Sofía Quintana Duque,2023-11-30,regular,6
115024,Ana Sofía Quintana Duque,2023-11-30,regular,6
112411,Bernabé Romeu Olivares,2023-10-17,premium,10
106052,Gertrudis de Godoy,2023-03-05,premium,17
112676,Isidora Alfonso Castillo,2020-11-11,regular,6
114647,Jordi Sanabria-Pelayo,2021-08-15,premium,9
113712,Candelaria Ojeda Caballero,2021-03-06,premium,8
114055,Teodora Rodriguez Artigas,2021-05-19,premium,8
106791,Regina Tamarit Ochoa,2023-11-26,premium,13
106308,Nydia Cuéllar-Diaz,2020-12-26,premium,13
103485,Zoraida Hervás Ferrando,2020-07-17,regular,4
109843,Dorita Ochoa Novoa,2024-02-04,premium,7
109189,Melania Bonilla,2021-01-12,premium,9
103466,Raúl del Ariño,2021-06-22,premium,14
102089,Aura de Galván,2023-01-19,regular,4
110461,Narciso Durán Lastra,2023-02-10,premium,14
110461,Narciso Durán Lastra,2023-02-10,premium,14
104401,Jordi Solsona,2022-04-05,premium,15
106933,Leire Ortega Sanchez,2021-04-08,premium,10
111075,José Manuel Montesinos Castells,2021-04-10,premium,7
103480,Daniela Morales Iglesias,2022-09-21,premium,9
110318,Sergio Caparrós Elorza,2020-06-07,premium,11
104795,Horacio Belmonte Garrido,2022-06-04,regular,6
111643,Marcos Paz Cuéllar,2020-11-26,premium,12
106441,Emiliana Perera Salazar,2021-09-07,premium,10
104871,Joel Pavón Escobar,2022-09-20,regular,5
105750,Teo Cuadrado Cuéllar,2024-08-25,regular,5
101351,Alexandra Nadal Pombo,2020-10-18,premium,8
105333,Paula Roldan Cantero,2023-07-17,premium,10
101523,Susanita Valcárcel Ayala,2024-02-13,premium,7
105569,Dafne Jover Carbó,2021-04-29,regular,6
107927,Belen Segarra,2023-09-09,premium,9
103880,Florencia Apolonia Rincón Carmona,2022-10-01,regular,6
105611,Luisina Manuel,2022-03-08,premium,9
110990,Amarilis Nogués Español,2020-03-02,premium,9
104862,Curro Iglesias-Ropero,2020-11-27,premium,7
102928,Isaías Valderrama Domingo,2023-06-22,regular,4
109869,Régulo Oliveras Tomás,2024-03-13,premium,7
101329,Severiano Virgilio Castro Enríquez,2023-11-02,premium,15
100170,Lola de Gabaldón,2020-04-17,premium,9
106215,Rosalinda Ruano Lluch,2020-11-27,premium,9
111689,Fulgencio Ruiz Ródenas,2024-04-15,premium,9
102233,Íngrid Mateos,2020-07-08,regular,6
102857,Trinidad Navas Maldonado,2022-09-15,premium,9
111015,Macaria Plana Gilabert,2023-07-27,premium,10
115239,Heriberto Escrivá Nieto,2021-03-01,regular,6
103030,Vito Puente Ojeda,2024-01-12,premium,17
108696,Goyo Aragonés Saldaña,2024-02-27,premium,10
111962,Miguel Mendoza-Ríos,2021-02-03,regular,5
105554,Julio César Diego Fuente,2021-06-09,premium,13
114209,Severo Carranza Ruiz,2021-06-16,premium,7
105002,Quique Ugarte Cámara,2020-12-05,regular,6
113085,Jimena Ramos Vara,2024-08-21,premium,8
108954,Manuel Morell-Coca,2021-03-15,premium,7
115136,Maximino Chaves Aguilar,2021-06-11,premium,9
104360,Luisa Rosa Montero,2022-12-28,premium,8
108577,Rosario Prada Barrios,2023-12-17,premium,9
112124,Chelo Cabañas Guerra,2022-09-11,regular,5
103222,Xiomara de Huerta,2022-09-18,premium,7
104063,Isidro Múgica-Soler,2023-04-27,premium,13
107701,Clotilde Calleja Rincón,2024-06-12,regular,3
109076,Fabio Pou Valls,2021-02-23,premium,7
108102,Adolfo Berrocal Castells,2021-03-26,regular,6
107524,Jovita Planas,2022-05-02,premium,7
114027,Blas Glauco Guitart Osorio,2021-09-16,premium,8
102827,Che Alvarado-Cabello,2021-07-26,premium,9
112628,Marisa Cabo Duarte,2020-07-16,premium,9
101359,Sebastián Nebot,2024-07-19,premium,8
107641,Áurea Rosell-Barrera,2023-07-04,premium,9
111982,Natalia Lladó Seguí,2020-07-19,premium,7
105923,Valentín Vicens Sales,2024-01-19,regular,5
115214,Julieta Amaya Guardiola,2023-07-15,premium,8
113872,Manuel Danilo Landa Artigas,2021-02-19,regular,3
100933,Edelmira Valbuena Berenguer,2022-06-05,premium,8
114306,Georgina Giménez Leal,2022-12-28,premium,8
112205,Eli Fernandez Guzmán,2021-12-09,regular,6
106316,Vilma Acero Quesada,2022-01-03,regular,6
111500,Saturnino Contreras-Bernat,2020-12-05,premium,8
112320,Balduino Morales Santamaría,2022-05-04,premium,8
109699,Encarnación Seco Pelayo,2021-06-25,premium,10
113626,Tiburcio Echeverría Mulet,2021-11-05,premium,8
114242,Ciriaco Ramos Pascual,2022-09-16,regular,5
109361,Angelita Tenorio Cortés,2021-11-17,regular,5
104623,Marisela de Lumbreras,2023-05-25,regular,5
108510,Odalys Vélez Díez,2021-11-29,premium,8
110221,Lisandro Vera,2023-08-16,premium,10
103316,Ramiro David Morata Sánchez,2021-02-12,premium,13
107489,Efraín Aguado-Gargallo,2020-07-11,premium,11
114859,Heriberto Ocaña Anguita,2023-05-21,regular,4
104297,Luis Ángel Amorós Sevillano,2020-05-19,premium,7
109293,Diego Peñalver-Calvet,2022-02-14,regular,5
112732,Diego Ropero-Ballesteros,2021-02-12,premium,7
103352,Ciríaco Cerdá Carrillo,2024-03-22,regular,5
107880,Anita Sofía Ibáñez Portillo,2023-07-18,premium,12
108697,Rodrigo Revilla Crespo,2023-12-04,premium,8
106743,Gema Carranza Ángel,2023-05-05,premium,10
100567,Fernando Palacio Tolosa,2022-01-23,regular,5
110218,Angelita Ledesma Pinedo,2021-01-23,premium,9
